ID,Username,Text,Created At,Retweets,Likes,Replies
1929688774159798691,@FrydAlwshly,@oyamarr9 @AliAldamanhori @HungerStation اتقوا الله في المناديب  حرام عليكم وعلى معاملاتكم,Mon Jun 02 23:57:10 +0000 2025,0,0,0
1929687012812247441,@Pxnr99,@HungerStation @Saudi_TGA شغل جبار الله يقويكم 👏🏻❤️,Mon Jun 02 23:50:10 +0000 2025,0,0,0
1929685585850937354,@Neelaan0,@pty_e1 هنقرستيشن حتى بمبادراتهم مميزين 👏🏻,Mon Jun 02 23:44:30 +0000 2025,0,0,0
1929685347799007577,@b0oda,@AliAldamanhori @Saudi_TGA @HungerStation 👏🏻,Mon Jun 02 23:43:33 +0000 2025,0,0,0
1929683744874467505,@khaled,"@HungerStation @Saudi_TGA #تفاعل_كاذب @malkassabi @FahdAlbogami @f_alabdulkarim @spokesman_mc @SalmanAldosary الردود الكاذبة وسيلة للاحتيال. سواء اعلان او “خبر”
#مرتزقة_التفاعل و الذباب الوهمي @m_0ao https://t.co/XOwp9DVq1m",Mon Jun 02 23:37:11 +0000 2025,0,0,0
1929677457189183986,@NL5202,"◐ هنقرستيشن ◐

رصيد 100 ريال هديه وتوصيل لمده سنة

وبالعافيه 【 W62W6Z5 ]↗️👌 https://t.co/qIcjYX7Ldk",Mon Jun 02 23:12:12 +0000 2025,0,0,0
1929673982472552767,@K7RMA,@HungerStation @Saudi_TGA الردود 😂😂😂,Mon Jun 02 22:58:23 +0000 2025,0,1,1
1929672520313028932,@noof_a1998,"@m_0ao ما شاء الله 
مبدعين هنقرستيشن",Mon Jun 02 22:52:35 +0000 2025,0,0,0
1929672390721626396,@aalhumaid179,@AliAldamanhori @HungerStation سؤال لك : ليش المناديب يصورون باب بيتي بعد توصيل الطلب ؟!!؟؟,Mon Jun 02 22:52:04 +0000 2025,0,0,1
1929670741446037814,@khaled,@Blu1_3lif @AJELNEWS24 @HungerStation إعلان مخالف مادة ١٠ @Gmedia_SA,Mon Jun 02 22:45:30 +0000 2025,0,0,0
1929670393738215558,@khaled,@oyamarr9 @AliAldamanhori @Saudi_TGA @HungerStation @AzizKhudiry @spokesman_TGA @SalehAlJasser,Mon Jun 02 22:44:08 +0000 2025,0,0,2
1929670102720430142,@khaled,@SR7fn @TGA_CARE @HungerStation @SalehAlJasser مشكلة @spokesman_TGA,Mon Jun 02 22:42:58 +0000 2025,0,0,0
1929669280129495343,@SN7777m,@ilmcav @AliAldamanhori @HungerStation @Saudi_TGA صادقه حولت عليهم,Mon Jun 02 22:39:42 +0000 2025,0,0,0
1929669079016615956,@khaled,"@yoyo20228480 @xjwwr @AliAldamanhori @Saudi_TGA @HungerStation واحد من جروب الدعم ""بو"" خرج عن النص @bndr55c",Mon Jun 02 22:38:54 +0000 2025,0,0,0
