ID,Username,Text,Created At,Retweets,Likes,Replies
1960128715851182103,@Lo54819301,@HungerStation وساحبينه بالغش والتدليس داسينه بالفاتوره بكل وقاحه وبعدها طلعوني من التطبيق ولاحياه لمن تنادي خلونا نقاطع هذا التطبيق البائس,Mon Aug 25 23:54:37 +0000 2025,0,0,0
1960128468793901145,@mewmewne8a,@EngDepressio شكرا هنقرستيشن 🤍,Mon Aug 25 23:53:39 +0000 2025,0,8,1
1960127858610929776,@Lo54819301,@AA38394568 @HungerStation صارت وبندو حسابي بعدها حراميه,Mon Aug 25 23:51:13 +0000 2025,0,0,0
1960127734476357664,@Lo54819301,@HungerStation بندتو حسابي بعد ما سحبتو حق 4 شهور بلس ولي اربع ساعات احاول اتواصل مع حضارتكم ؟ خير هاتو فلوسي وعد لااحذف تطبيقكم واي شي فيه اسمكم من جوالي انا وعائلتي والجميع حولي https://t.co/xf427krORY,Mon Aug 25 23:50:43 +0000 2025,0,0,1
1960118978669367686,@Maradona_ARB,@HungerStation اخذ اسم المطعم والوجبه من تطبيقكم واطلبها من كيتا,Mon Aug 25 23:15:56 +0000 2025,0,0,0
1960106076130689521,@al3nouudAS,@toto0at @HungerStation @MonshaatSA من فضلك ممكن تحاكيني على الخاص احاول ادخل عليك ما يطلع لي,Mon Aug 25 22:24:40 +0000 2025,0,0,1
1960104060771848474,@wdkmty658087,@HungerStation @MonshaatSA تم إلغاء الحساب بالبرنامج,Mon Aug 25 22:16:39 +0000 2025,0,0,0
1960101701249376710,@TalBwd43375,@HungerStation سرقني حسبي الله عليهم وعلى شركتهم وعلى المندوب,Mon Aug 25 22:07:17 +0000 2025,0,0,1
1960098303409799655,@abo_amer95,@HungerStation السلام عليكم اضفت الكود ويقول غير صحيح ؟؟ https://t.co/XfRgfZLMv6,Mon Aug 25 21:53:47 +0000 2025,1,0,1
1960098242420752829,@abdelrh80273648,@HungerStation السلام عليكم ورحمة الله وبركاته انا لي ٣ ايام ممكن اول يوم كلمة خدمة العملاء طلبت فوق ٣٠ ريال المفروض يجيني اخر ريوارد لاكن للان ما جاني الأول قالي ٨ إلى ٧٢ ساعه وامس كلمتهم وقالولي ٨ إلى ٧٢ ساعه إلى متى ما بيجيني الكاش باك يعني؟,Mon Aug 25 21:53:32 +0000 2025,0,0,0
1960098000216465519,@abo_amer95,@HungerStation السلام عليكم الاعلان هذا صحيح ؟؟,Mon Aug 25 21:52:34 +0000 2025,1,0,0
1960092560442925266,@RaghadRar,"@Ninjaappksa @HungerStation @JahezApp @Keetaglobal_ksa @noon @AppMrsool @NanaAppSA
 الي يرد اول بطلب منه 🫷🏻",Mon Aug 25 21:30:57 +0000 2025,0,1,1
